4K,#genre#
Love Nature 4K「自然」,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
Loupe 4K「视觉」,https://d2dw21aq0j0l5c.cloudfront.net/playlist_3840x2160.m3u8
Fashion 4K「时尚」,https://fash2043.cloudycdn.services/slive/ftv_ftv_4k_hevc_73d_42080_default_466_hls.smil/playlist.m3u8
爱上4K,http://111.72.202.58:7088/udp/239.252.220.212:5140
爱上4K,http://59.52.59.10:8008/udp/239.252.220.212:5140
4K超清,http://223.72.11.228:8022/udp/228.1.1.123:8001
爱上4K,http://223.72.11.228:8022/udp/228.1.1.38:2000
4K超清,http://123.113.96.173:4022/udp/239.3.1.249:8001
爱上4K,http://123.113.96.173:4022/udp/239.3.1.236:2000
4K乐享,http://171.213.129.224:8188/udp/239.93.0.43:5140
百事通4K电影,http://nxlj.cn:1688/udp/239.45.1.42:5140
百事通4K电影,http://nxlj.cn:1688/udp/239.45.3.107:5140
百事通4K儿童,http://nxlj.cn:1688/udp/239.45.1.1:5140
百事通4K儿童,http://nxlj.cn:1688/udp/239.45.1.11:5140
百事通4K纪实,http://nxlj.cn:1688/udp/239.45.1.10:5140
欢笑剧场4K,http://nxlj.cn:1688/udp/239.45.1.4:5140
CCTV16 4K,http://nxlj.cn:1688/udp/239.45.0.12:5140
CCTV16 4K,http://www.jeremyoto.com:82/udp/233.50.201.63:5140
苏州4K,https://live-auth.51kandianshi.com/szgd/csztv4k_hd.m3u8
北京纪实8K,http://8kdown.brtvcloud.com/8klive/8kliveok.m3u8?txSecret=a9cfb6acb08a9fe154a8ba6d0226cfef&txTime=71697CD5
北京纪实8K,http://111.31.106.140/downflv.brtvcloud.com/8klive/8kliveok.m3u8



CCTV,#genre#
CCTV4K,http://14.117.236.118:9001/udp/239.77.0.174:5146
CCTV4K,http://14.117.236.118:9001/udp/239.77.0.194:5146
CCTV4K,http://ikuai.sunjianwu.fun:8800/udp/239.49.0.82:8000
CCTV4K,http://223.72.11.228:8022/udp/228.1.1.227:2000
CCTV4K,http://123.113.96.173:4022/udp/239.3.1.245:2000
CCTV1,http://111.72.202.58:7088/udp/239.252.219.200:5140
CCTV2,http://111.72.202.58:7088/udp/239.252.220.183:5140
CCTV3,http://111.72.202.58:7088/udp/239.252.219.252:5140
CCTV4,http://111.72.202.58:7088/udp/239.252.220.184:5140
CCTV4美洲,http://111.72.202.58:7088/udp/239.252.219.193:5140
CCTV4欧洲,http://111.72.202.58:7088/udp/239.252.219.192:5140
CCTV5,http://111.72.202.58:7088/udp/239.252.219.236:5140
CCTV5+,http://111.72.202.58:7088/udp/239.252.219.72:5140
CCTV6,http://111.72.202.58:7088/udp/239.252.219.237:5140
CCTV7,http://111.72.202.58:7088/udp/239.252.220.185:5140
CCTV8,http://111.72.202.58:7088/udp/239.252.219.253:5140
CCTV9,http://111.72.202.58:7088/udp/239.252.220.186:5140
CCTV10,http://111.72.202.58:7088/udp/239.252.220.91:5140
CCTV11,http://111.72.202.58:7088/udp/239.252.219.78:5140
CCTV12,http://111.72.202.58:7088/udp/239.252.220.187:5140
CCTV13,http://111.72.202.58:7088/udp/239.252.219.139:5140
CCTV14,http://111.72.202.58:7088/udp/239.252.220.92:5140
CCTV15,http://111.72.202.58:7088/udp/239.252.219.79:5140
CCTV16,http://111.72.202.58:7088/udp/239.252.220.237:5140
CCTV17,http://111.72.202.58:7088/udp/239.252.220.192:5140
CCTV电视指南,http://111.72.202.58:7088/udp/239.252.219.97:5140
CCTV兵器科技,http://111.72.202.58:7088/udp/239.252.219.98:5140
CCTV第一剧场,http://111.72.202.58:7088/udp/239.252.219.86:5140
CCTV风云剧场,http://111.72.202.58:7088/udp/239.252.219.89:5140
CCTV风云音乐,http://111.72.202.58:7088/udp/239.252.219.87:5140
CCTV风云足球,http://111.72.202.58:7088/udp/239.252.219.96:5140
CCTV高尔夫网球,http://111.72.202.58:7088/udp/239.252.219.95:5140
CCTV怀旧剧场,http://111.72.202.58:7088/udp/239.252.219.90:5140
CCTV女性时尚,http://111.72.202.58:7088/udp/239.252.219.94:5140
CCTV世界地理,http://111.72.202.58:7088/udp/239.252.219.93:5140
CCTV文化精品,http://111.72.202.58:7088/udp/239.252.219.81:5140
CCTV央视台球,http://111.72.202.58:7088/udp/239.252.219.80:5140
CCTV1,http://59.52.59.10:8008/udp/239.252.219.200:5140
